id,delay_with_demand,station_0,station_1,delay_0,delay_1,sum,synergy,station_0_lat,station_0_lon,station_1_lat,station_1_lon,percent_synergy,"""","{""id"" : 0,""delay_with_demand"" : 871340604.3,""station_0"" : ""Jackson Hts - Roosevelt Av_0"",""station_1"" : ""Queensboro Plaza_0"",""station_0_lat"" : 40.746644,""station_0_lon"" : -73.891338,""station_1_lat"" : 40.750582,""station_1_lon"" : -73.940202,""delay_0"" : 301205900.1,""delay_1"" : 241567386,""sum"" : 542773286.1,""synergy"" : 328567318.2},",,,,,,,,,,,
10,374565443.3,Newkirk Plaza_0,Queensboro Plaza_0,123750250.4,251635172.7,375385423.1,-819979.795,40.635082,-73.962793,40.750582,-73.940202,-0.21843677,"{""id"" : 10,","""delay_with_demand"" : 374565443.282,","""station_0"" : ""Newkirk Plaza_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 123750250.403,","""delay_1"" : 251635172.674,","""sum"" : 375385423.077,","""synergy"" : -819979.795,","""station_0_lat"" : 40.635082,","""station_0_lon"" : -73.962793,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.218436770474},"
11,290092083,Essex St_0,Queensboro Plaza_0,38814251.23,251635172.7,290449423.9,-357340.8875,40.718315,-73.987437,40.750582,-73.940202,-0.123030331,"{""id"" : 11,","""delay_with_demand"" : 290092083.013,","""station_0"" : ""Essex St_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 38814251.2265,","""delay_1"" : 251635172.674,","""sum"" : 290449423.9,","""synergy"" : -357340.8875,","""station_0_lat"" : 40.718315,","""station_0_lon"" : -73.987437,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.123030330961},"
12,322330564.8,Nostrand Av_1,Queensboro Plaza_0,71000339.24,251635172.7,322635511.9,-304947.078,40.680438,-73.950426,40.750582,-73.940202,-0.094517518,"{""id"" : 12,","""delay_with_demand"" : 322330564.84,","""station_0"" : ""Nostrand Av_1"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 71000339.244,","""delay_1"" : 251635172.674,","""sum"" : 322635511.918,","""synergy"" : -304947.078,","""station_0_lat"" : 40.680438,","""station_0_lon"" : -73.950426,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.0945175179841},"
13,263343416.2,25 St_0,Queensboro Plaza_0,11718325.41,251635172.7,263353498.1,-10081.9151,40.660397,-73.998091,40.750582,-73.940202,-0.003828282,"{""id"" : 13,","""delay_with_demand"" : 263343416.168,","""station_0"" : ""25 St_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 11718325.4091,","""delay_1"" : 251635172.674,","""sum"" : 263353498.083,","""synergy"" : -10081.9151,","""station_0_lat"" : 40.660397,","""station_0_lon"" : -73.998091,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.00382828220374},"
14,570370966.3,Broadway Jct_0,Queensboro Plaza_0,326405791.4,251635172.7,578040964.1,-7669997.76,40.678904,-73.9045792,40.750582,-73.940202,-1.326895192,"{""id"" : 14,","""delay_with_demand"" : 570370966.313,","""station_0"" : ""Broadway Jct_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 326405791.399,","""delay_1"" : 251635172.674,","""sum"" : 578040964.073,","""synergy"" : -7669997.76,","""station_0_lat"" : 40.678904,","""station_0_lon"" : -73.9045792,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -1.32689519199},"
15,334718962.3,145 St_0,Queensboro Plaza_0,83423715.57,251635172.7,335058888.2,-339925.9233,40.824783,-73.944216,40.750582,-73.940202,-0.101452591,"{""id"" : 15,","""delay_with_demand"" : 334718962.322,","""station_0"" : ""145 St_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 83423715.5713,","""delay_1"" : 251635172.674,","""sum"" : 335058888.245,","""synergy"" : -339925.9233,","""station_0_lat"" : 40.824783,","""station_0_lon"" : -73.944216,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.10145259094},"
16,498307546.7,Junction Blvd_0,Queensboro Plaza_0,269649748.4,251635172.7,521284921,-22977374.33,40.749145,-73.869527,40.750582,-73.940202,-4.407834067,"{""id"" : 16,","""delay_with_demand"" : 498307546.7,","""station_0"" : ""Junction Blvd_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 269649748.36,","""delay_1"" : 251635172.674,","""sum"" : 521284921.034,","""synergy"" : -22977374.334,","""station_0_lat"" : 40.749145,","""station_0_lon"" : -73.869527,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -4.40783406672},"
17,526771821.6,Kew Gardens - Union Tpke_0,Queensboro Plaza_0,278833714.3,251635172.7,530468887,-3697065.409,40.714441,-73.831008,40.750582,-73.940202,-0.696942931,"{""id"" : 17,","""delay_with_demand"" : 526771821.611,","""station_0"" : ""Kew Gardens - Union Tpke_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 278833714.346,","""delay_1"" : 251635172.674,","""sum"" : 530468887.02,","""synergy"" : -3697065.409,","""station_0_lat"" : 40.714441,","""station_0_lon"" : -73.831008,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.696942930955},"
18,462772833.7,Grand Central - 42 St_0,Queensboro Plaza_0,223630137,251635172.7,475265309.7,-12492475.95,40.751707,-73.9766866,40.750582,-73.940202,-2.628526781,"{""id"" : 18,","""delay_with_demand"" : 462772833.713,","""station_0"" : ""Grand Central - 42 St_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 223630136.984,","""delay_1"" : 251635172.674,","""sum"" : 475265309.658,","""synergy"" : -12492475.945,","""station_0_lat"" : 40.751707,","""station_0_lon"" : -73.9766866,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -2.62852678097},"
19,470832318.1,3 Av - 149 St_0,Queensboro Plaza_0,221492451.1,251635172.7,473127623.7,-2295305.651,40.816109,-73.917757,40.750582,-73.940202,-0.485134567,"{""id"" : 19,","""delay_with_demand"" : 470832318.096,","""station_0"" : ""3 Av - 149 St_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 221492451.073,","""delay_1"" : 251635172.674,","""sum"" : 473127623.747,","""synergy"" : -2295305.651,","""station_0_lat"" : 40.816109,","""station_0_lon"" : -73.917757,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.48513456746},"
20,388411536,Times Sq - 42 St_0,Queensboro Plaza_0,145182887.8,251635172.7,396818060.5,-8406524.499,40.7551308,-73.9870916,40.750582,-73.940202,-2.118483339,"{""id"" : 20,","""delay_with_demand"" : 388411536.004,","""station_0"" : ""Times Sq - 42 St_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 145182887.829,","""delay_1"" : 251635172.674,","""sum"" : 396818060.503,","""synergy"" : -8406524.499,","""station_0_lat"" : 40.7551308,","""station_0_lon"" : -73.9870916,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -2.11848333928},"
21,268211932.5,Coney Island - Stillwell Av_0,Queensboro Plaza_0,16577467.28,251635172.7,268212640,-707.5078,40.577422,-73.981233,40.750582,-73.940202,-0.000263786,"{""id"" : 21,","""delay_with_demand"" : 268211932.45,","""station_0"" : ""Coney Island - Stillwell Av_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 16577467.2838,","""delay_1"" : 251635172.674,","""sum"" : 268212639.958,","""synergy"" : -707.507800043,","""station_0_lat"" : 40.577422,","""station_0_lon"" : -73.981233,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.000263786151225},"
