id,delay_with_demand,station_0,station_1,delay_0,delay_1,sum,synergy,station_0_lat,station_0_lon,station_1_lat,station_1_lon,percent_synergy,"""","{""id"" : 0,""delay_with_demand"" : 871340604.3,""station_0"" : ""Jackson Hts - Roosevelt Av_0"",""station_1"" : ""Queensboro Plaza_0"",""station_0_lat"" : 40.746644,""station_0_lon"" : -73.891338,""station_1_lat"" : 40.750582,""station_1_lon"" : -73.940202,""delay_0"" : 301205900.1,""delay_1"" : 241567386,""sum"" : 542773286.1,""synergy"" : 328567318.2},",,,,,,,,,,,
1434,340243728.8,161 St - Yankee Stadium_0,President St_0,197887515,143484676.6,341372191.6,-1128462.78,40.82793467,-73.925711,40.667883,-73.950683,-0.330566698,"{""id"" : 1434,","""delay_with_demand"" : 340243728.79,","""station_0"" : ""161 St - Yankee Stadium_0"",","""station_1"" : ""President St_0"",","""delay_0"" : 197887515.002,","""delay_1"" : 143484676.568,","""sum"" : 341372191.57,","""synergy"" : -1128462.78,","""station_0_lat"" : 40.8279346667,","""station_0_lon"" : -73.925711,","""station_1_lat"" : 40.667883,","""station_1_lon"" : -73.950683,","""percent_synergy"" : -0.330566697542},"
1435,334562997.8,36 Av_0,President St_0,191517800.1,143484676.6,335002476.7,-439478.858,40.756804,-73.929575,40.667883,-73.950683,-0.131186749,"{""id"" : 1435,","""delay_with_demand"" : 334562997.796,","""station_0"" : ""36 Av_0"",","""station_1"" : ""President St_0"",","""delay_0"" : 191517800.086,","""delay_1"" : 143484676.568,","""sum"" : 335002476.654,","""synergy"" : -439478.858,","""station_0_lat"" : 40.756804,","""station_0_lon"" : -73.929575,","""station_1_lat"" : 40.667883,","""station_1_lon"" : -73.950683,","""percent_synergy"" : -0.131186748943},"
1436,334425373.3,Grant Av_0,President St_0,192666263.7,143484676.6,336150940.3,-1725566.987,40.677044,-73.86505,40.667883,-73.950683,-0.513331001,"{""id"" : 1436,","""delay_with_demand"" : 334425373.283,","""station_0"" : ""Grant Av_0"",","""station_1"" : ""President St_0"",","""delay_0"" : 192666263.702,","""delay_1"" : 143484676.568,","""sum"" : 336150940.27,","""synergy"" : -1725566.987,","""station_0_lat"" : 40.677044,","""station_0_lon"" : -73.86505,","""station_1_lat"" : 40.667883,","""station_1_lon"" : -73.950683,","""percent_synergy"" : -0.513331001131},"
1437,301086783.4,Hunts Point Av_0,President St_0,158457927.1,143484676.6,301942603.7,-855820.343,40.820948,-73.890549,40.667883,-73.950683,-0.283438088,"{""id"" : 1437,","""delay_with_demand"" : 301086783.355,","""station_0"" : ""Hunts Point Av_0"",","""station_1"" : ""President St_0"",","""delay_0"" : 158457927.13,","""delay_1"" : 143484676.568,","""sum"" : 301942603.698,","""synergy"" : -855820.343,","""station_0_lat"" : 40.820948,","""station_0_lon"" : -73.890549,","""station_1_lat"" : 40.667883,","""station_1_lon"" : -73.950683,","""percent_synergy"" : -0.283438088073},"
1438,248957236.7,72 St_2,President St_0,108403102.1,143484676.6,251887778.6,-2930541.982,40.768799,-73.958424,40.667883,-73.950683,-1.163431588,"{""id"" : 1438,","""delay_with_demand"" : 248957236.656,","""station_0"" : ""72 St_2"",","""station_1"" : ""President St_0"",","""delay_0"" : 108403102.07,","""delay_1"" : 143484676.568,","""sum"" : 251887778.638,","""synergy"" : -2930541.982,","""station_0_lat"" : 40.768799,","""station_0_lon"" : -73.958424,","""station_1_lat"" : 40.667883,","""station_1_lon"" : -73.950683,","""percent_synergy"" : -1.16343158761},"
1439,205763422.1,Franklin Av_1,President St_0,205134091.4,143484676.6,348618768,-142855345.9,40.670682,-73.958131,40.667883,-73.950683,-40.97752589,"{""id"" : 1439,","""delay_with_demand"" : 205763422.077,","""station_0"" : ""Franklin Av_1"",","""station_1"" : ""President St_0"",","""delay_0"" : 205134091.42,","""delay_1"" : 143484676.568,","""sum"" : 348618767.988,","""synergy"" : -142855345.911,","""station_0_lat"" : 40.670682,","""station_0_lon"" : -73.958131,","""station_1_lat"" : 40.667883,","""station_1_lon"" : -73.950683,","""percent_synergy"" : -40.9775258904},"
1440,336429041.9,3 Av - 138 St_0,President St_0,194087921,143484676.6,337572597.6,-1143555.648,40.810476,-73.926138,40.667883,-73.950683,-0.338758435,"{""id"" : 1440,","""delay_with_demand"" : 336429041.942,","""station_0"" : ""3 Av - 138 St_0"",","""station_1"" : ""President St_0"",","""delay_0"" : 194087921.022,","""delay_1"" : 143484676.568,","""sum"" : 337572597.59,","""synergy"" : -1143555.648,","""station_0_lat"" : 40.810476,","""station_0_lon"" : -73.926138,","""station_1_lat"" : 40.667883,","""station_1_lon"" : -73.950683,","""percent_synergy"" : -0.338758434827},"
1441,360855012,Euclid Av_0,President St_0,219364349.6,143484676.6,362849026.1,-1994014.132,40.675377,-73.872106,40.667883,-73.950683,-0.549543746,"{""id"" : 1441,","""delay_with_demand"" : 360855011.997,","""station_0"" : ""Euclid Av_0"",","""station_1"" : ""President St_0"",","""delay_0"" : 219364349.561,","""delay_1"" : 143484676.568,","""sum"" : 362849026.129,","""synergy"" : -1994014.132,","""station_0_lat"" : 40.675377,","""station_0_lon"" : -73.872106,","""station_1_lat"" : 40.667883,","""station_1_lon"" : -73.950683,","""percent_synergy"" : -0.54954374641},"
1442,347897708.2,39 Av_0,President St_0,204933506.5,143484676.6,348418183.1,-520474.9,40.752882,-73.932755,40.667883,-73.950683,-0.149382244,"{""id"" : 1442,","""delay_with_demand"" : 347897708.214,","""station_0"" : ""39 Av_0"",","""station_1"" : ""President St_0"",","""delay_0"" : 204933506.546,","""delay_1"" : 143484676.568,","""sum"" : 348418183.114,","""synergy"" : -520474.9,","""station_0_lat"" : 40.752882,","""station_0_lon"" : -73.932755,","""station_1_lat"" : 40.667883,","""station_1_lon"" : -73.950683,","""percent_synergy"" : -0.149382243874},"
1443,324447151.9,Parsons Blvd_0,President St_0,181375845.6,143484676.6,324860522.2,-413370.353,40.707564,-73.803326,40.667883,-73.950683,-0.127245487,"{""id"" : 1443,","""delay_with_demand"" : 324447151.856,","""station_0"" : ""Parsons Blvd_0"",","""station_1"" : ""President St_0"",","""delay_0"" : 181375845.641,","""delay_1"" : 143484676.568,","""sum"" : 324860522.209,","""synergy"" : -413370.353,","""station_0_lat"" : 40.707564,","""station_0_lon"" : -73.803326,","""station_1_lat"" : 40.667883,","""station_1_lon"" : -73.950683,","""percent_synergy"" : -0.127245486829},"
1444,347307934.7,59 St_0,President St_0,207149456.8,143484676.6,350634133.4,-3326198.645,40.762526,-73.967967,40.667883,-73.950683,-0.948623744,"{""id"" : 1444,","""delay_with_demand"" : 347307934.736,","""station_0"" : ""59 St_0"",","""station_1"" : ""President St_0"",","""delay_0"" : 207149456.813,","""delay_1"" : 143484676.568,","""sum"" : 350634133.381,","""synergy"" : -3326198.645,","""station_0_lat"" : 40.762526,","""station_0_lon"" : -73.967967,","""station_1_lat"" : 40.667883,","""station_1_lon"" : -73.950683,","""percent_synergy"" : -0.948623744336},"
1445,458888729,Jackson Hts - Roosevelt Av_0,Times Sq - 42 St_0,315917299.6,145182887.8,461100187.4,-2211458.419,40.746644,-73.891338,40.7551308,-73.9870916,-0.479604754,"{""id"" : 1445,","""delay_with_demand"" : 458888728.992,","""station_0"" : ""Jackson Hts - Roosevelt Av_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 315917299.582,","""delay_1"" : 145182887.829,","""sum"" : 461100187.411,","""synergy"" : -2211458.419,","""station_0_lat"" : 40.746644,","""station_0_lon"" : -73.891338,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.479604753886},"
1446,406390764.9,125 St_2,Times Sq - 42 St_0,256294926.7,145182887.8,401477814.6,4912950.365,40.804138,-73.937594,40.7551308,-73.9870916,1.223716526,"{""id"" : 1446,","""delay_with_demand"" : 406390764.923,","""station_0"" : ""125 St_2"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 256294926.729,","""delay_1"" : 145182887.829,","""sum"" : 401477814.558,","""synergy"" : 4912950.365,","""station_0_lat"" : 40.804138,","""station_0_lon"" : -73.937594,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : 1.22371652601},"
1447,266201313.4,Newkirk Plaza_0,Times Sq - 42 St_0,123750250.4,145182887.8,268933138.2,-2731824.798,40.635082,-73.962793,40.7551308,-73.9870916,-1.015800736,"{""id"" : 1447,","""delay_with_demand"" : 266201313.434,","""station_0"" : ""Newkirk Plaza_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 123750250.403,","""delay_1"" : 145182887.829,","""sum"" : 268933138.232,","""synergy"" : -2731824.798,","""station_0_lat"" : 40.635082,","""station_0_lon"" : -73.962793,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -1.01580073618},"
1448,183577257.5,Essex St_0,Times Sq - 42 St_0,38814251.23,145182887.8,183997139.1,-419881.5245,40.718315,-73.987437,40.7551308,-73.9870916,-0.228200029,"{""id"" : 1448,","""delay_with_demand"" : 183577257.531,","""station_0"" : ""Essex St_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 38814251.2265,","""delay_1"" : 145182887.829,","""sum"" : 183997139.056,","""synergy"" : -419881.5245,","""station_0_lat"" : 40.718315,","""station_0_lon"" : -73.987437,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.2282000289},"
1449,216173039.3,Nostrand Av_1,Times Sq - 42 St_0,71000339.24,145182887.8,216183227.1,-10187.81,40.680438,-73.950426,40.7551308,-73.9870916,-0.004712581,"{""id"" : 1449,","""delay_with_demand"" : 216173039.263,","""station_0"" : ""Nostrand Av_1"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 71000339.244,","""delay_1"" : 145182887.829,","""sum"" : 216183227.073,","""synergy"" : -10187.81,","""station_0_lat"" : 40.680438,","""station_0_lon"" : -73.950426,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.00471258114608},"
1450,156758730.1,25 St_0,Times Sq - 42 St_0,11718325.41,145182887.8,156901213.2,-142483.1321,40.660397,-73.998091,40.7551308,-73.9870916,-0.090810727,"{""id"" : 1450,","""delay_with_demand"" : 156758730.106,","""station_0"" : ""25 St_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 11718325.4091,","""delay_1"" : 145182887.829,","""sum"" : 156901213.238,","""synergy"" : -142483.1321,","""station_0_lat"" : 40.660397,","""station_0_lon"" : -73.998091,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.0908107268003},"
1451,469418390,Broadway Jct_0,Times Sq - 42 St_0,326405791.4,145182887.8,471588679.2,-2170289.271,40.678904,-73.9045792,40.7551308,-73.9870916,-0.460208094,"{""id"" : 1451,","""delay_with_demand"" : 469418389.957,","""station_0"" : ""Broadway Jct_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 326405791.399,","""delay_1"" : 145182887.829,","""sum"" : 471588679.228,","""synergy"" : -2170289.271,","""station_0_lat"" : 40.678904,","""station_0_lon"" : -73.9045792,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.460208093747},"
1452,236242305.7,145 St_0,Times Sq - 42 St_0,83423715.57,145182887.8,228606603.4,7635702.34,40.824783,-73.944216,40.7551308,-73.9870916,3.340105765,"{""id"" : 1452,","""delay_with_demand"" : 236242305.74,","""station_0"" : ""145 St_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 83423715.5713,","""delay_1"" : 145182887.829,","""sum"" : 228606603.4,","""synergy"" : 7635702.3397,","""station_0_lat"" : 40.824783,","""station_0_lon"" : -73.944216,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : 3.34010576516},"
1453,420628050.9,Kew Gardens - Union Tpke_0,Times Sq - 42 St_0,278833714.3,145182887.8,424016602.2,-3388551.284,40.714441,-73.831008,40.7551308,-73.9870916,-0.799155332,"{""id"" : 1453,","""delay_with_demand"" : 420628050.891,","""station_0"" : ""Kew Gardens - Union Tpke_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 278833714.346,","""delay_1"" : 145182887.829,","""sum"" : 424016602.175,","""synergy"" : -3388551.284,","""station_0_lat"" : 40.714441,","""station_0_lon"" : -73.831008,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.7991553318},"
1454,360071754.4,3 Av - 149 St_0,Times Sq - 42 St_0,221492451.1,145182887.8,366675338.9,-6603584.526,40.816109,-73.917757,40.7551308,-73.9870916,-1.800935003,"{""id"" : 1454,","""delay_with_demand"" : 360071754.376,","""station_0"" : ""3 Av - 149 St_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 221492451.073,","""delay_1"" : 145182887.829,","""sum"" : 366675338.902,","""synergy"" : -6603584.526,","""station_0_lat"" : 40.816109,","""station_0_lon"" : -73.917757,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -1.80093500309},"
1455,161557116.9,Coney Island - Stillwell Av_0,Times Sq - 42 St_0,16577467.28,145182887.8,161760355.1,-203238.2038,40.577422,-73.981233,40.7551308,-73.9870916,-0.125641542,"{""id"" : 1455,","""delay_with_demand"" : 161557116.909,","""station_0"" : ""Coney Island - Stillwell Av_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 16577467.2838,","""delay_1"" : 145182887.829,","""sum"" : 161760355.113,","""synergy"" : -203238.2038,","""station_0_lat"" : 40.577422,","""station_0_lon"" : -73.981233,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.125641541562},"
1456,275617695.3,34 St - Herald Sq_0,Times Sq - 42 St_0,140234090.5,145182887.8,285416978.4,-9799283.02,40.749643,-73.9878865,40.7551308,-73.9870916,-3.433321688,"{""id"" : 1456,","""delay_with_demand"" : 275617695.342,","""station_0"" : ""34 St - Herald Sq_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 140234090.533,","""delay_1"" : 145182887.829,","""sum"" : 285416978.362,","""synergy"" : -9799283.02,","""station_0_lat"" : 40.749643,","""station_0_lon"" : -73.9878865,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -3.43332168823},"
1457,226507338,125 St_3,Times Sq - 42 St_0,76107032.31,145182887.8,221289920.1,5217417.873,40.811109,-73.952343,40.7551308,-73.9870916,2.357729566,"{""id"" : 1457,","""delay_with_demand"" : 226507338.009,","""station_0"" : ""125 St_3"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 76107032.3074,","""delay_1"" : 145182887.829,","""sum"" : 221289920.136,","""synergy"" : 5217417.8726,","""station_0_lat"" : 40.811109,","""station_0_lon"" : -73.952343,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : 2.35772956553},"
1458,206310674.4,96 St_0,Times Sq - 42 St_0,74171566.44,145182887.8,219354454.3,-13043779.83,40.793919,-73.972323,40.7551308,-73.9870916,-5.946439462,"{""id"" : 1458,","""delay_with_demand"" : 206310674.441,","""station_0"" : ""96 St_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 74171566.4436,","""delay_1"" : 145182887.829,","""sum"" : 219354454.273,","""synergy"" : -13043779.8316,","""station_0_lat"" : 40.793919,","""station_0_lon"" : -73.972323,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -5.94643946249},"
1459,235380334.6,Fulton St_1,Times Sq - 42 St_0,89515357.07,145182887.8,234698244.9,682089.6868,40.7102996,-74.0087818,40.7551308,-73.9870916,0.290624111,"{""id"" : 1459,","""delay_with_demand"" : 235380334.583,","""station_0"" : ""Fulton St_1"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 89515357.0672,","""delay_1"" : 145182887.829,","""sum"" : 234698244.896,","""synergy"" : 682089.6868,","""station_0_lat"" : 40.7102996,","""station_0_lon"" : -74.0087818,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : 0.29062411059},"
1460,205211130.7,34 St - Penn Station_0,Times Sq - 42 St_0,81124382.45,145182887.8,226307270.3,-21096139.58,40.750373,-73.991057,40.7551308,-73.9870916,-9.321900949,"{""id"" : 1460,","""delay_with_demand"" : 205211130.699,","""station_0"" : ""34 St - Penn Station_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 81124382.4464,","""delay_1"" : 145182887.829,","""sum"" : 226307270.275,","""synergy"" : -21096139.5764,","""station_0_lat"" : 40.750373,","""station_0_lon"" : -73.991057,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -9.32190094942},"
1461,222694915.2,Fulton St_0,Times Sq - 42 St_0,78639689.66,145182887.8,223822577.5,-1127662.287,40.70973533,-74.006908,40.7551308,-73.9870916,-0.503819721,"{""id"" : 1461,","""delay_with_demand"" : 222694915.199,","""station_0"" : ""Fulton St_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 78639689.6565,","""delay_1"" : 145182887.829,","""sum"" : 223822577.485,","""synergy"" : -1127662.2865,","""station_0_lat"" : 40.7097353333,","""station_0_lon"" : -74.006908,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.503819721481},"
1462,227702621.2,W 4 St_0,Times Sq - 42 St_0,76243580.24,145182887.8,221426468.1,6276153.138,40.732338,-74.000495,40.7551308,-73.9870916,2.834418664,"{""id"" : 1462,","""delay_with_demand"" : 227702621.206,","""station_0"" : ""W 4 St_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 76243580.2394,","""delay_1"" : 145182887.829,","""sum"" : 221426468.068,","""synergy"" : 6276153.1376,","""station_0_lat"" : 40.732338,","""station_0_lon"" : -74.000495,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : 2.83441866383},"
1463,213002282.3,Canal St_2,Times Sq - 42 St_0,66156570.77,145182887.8,211339458.6,1662823.725,40.720824,-74.005229,40.7551308,-73.9870916,0.786802302,"{""id"" : 1463,","""delay_with_demand"" : 213002282.322,","""station_0"" : ""Canal St_2"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 66156570.768,","""delay_1"" : 145182887.829,","""sum"" : 211339458.597,","""synergy"" : 1662823.725,","""station_0_lat"" : 40.720824,","""station_0_lon"" : -74.005229,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : 0.78680230187},"
1464,207559207.7,Utica Av_0,Times Sq - 42 St_0,62383820.45,145182887.8,207566708.3,-7500.5475,40.679364,-73.930729,40.7551308,-73.9870916,-0.00361356,"{""id"" : 1464,","""delay_with_demand"" : 207559207.734,","""station_0"" : ""Utica Av_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 62383820.4525,","""delay_1"" : 145182887.829,","""sum"" : 207566708.281,","""synergy"" : -7500.54749995,","""station_0_lat"" : 40.679364,","""station_0_lon"" : -73.930729,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.00361355997889},"
1465,201922913.2,Canal St_0,Times Sq - 42 St_0,59872507.09,145182887.8,205055394.9,-3132481.675,40.718793,-74.00071278,40.7551308,-73.9870916,-1.527627047,"{""id"" : 1465,","""delay_with_demand"" : 201922913.242,","""station_0"" : ""Canal St_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 59872507.0878,","""delay_1"" : 145182887.829,","""sum"" : 205055394.917,","""synergy"" : -3132481.6748,","""station_0_lat"" : 40.718793,","""station_0_lon"" : -74.0007127778,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -1.52762704735},"
1466,199696759.3,DeKalb Av_0,Times Sq - 42 St_0,56599245.54,145182887.8,201782133.4,-2085374.065,40.690635,-73.981824,40.7551308,-73.9870916,-1.033478054,"{""id"" : 1466,","""delay_with_demand"" : 199696759.299,","""station_0"" : ""DeKalb Av_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 56599245.5353,","""delay_1"" : 145182887.829,","""sum"" : 201782133.364,","""synergy"" : -2085374.0653,","""station_0_lat"" : 40.690635,","""station_0_lon"" : -73.981824,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -1.03347805404},"
1467,209260349.5,Court Sq_0,Times Sq - 42 St_0,60166735.76,145182887.8,205349623.6,3910725.942,40.74731725,-73.945274,40.7551308,-73.9870916,1.904423234,"{""id"" : 1467,","""delay_with_demand"" : 209260349.53,","""station_0"" : ""Court Sq_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 60166735.7594,","""delay_1"" : 145182887.829,","""sum"" : 205349623.588,","""synergy"" : 3910725.9416,","""station_0_lat"" : 40.74731725,","""station_0_lon"" : -73.945274,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : 1.90442323354},"
1468,197443418.4,Crown Hts - Utica Av_0,Times Sq - 42 St_0,53269044.18,145182887.8,198451932,-1008513.6,40.668897,-73.932942,40.7551308,-73.9870916,-0.508190366,"{""id"" : 1468,","""delay_with_demand"" : 197443418.411,","""station_0"" : ""Crown Hts - Utica Av_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 53269044.1815,","""delay_1"" : 145182887.829,","""sum"" : 198451932.011,","""synergy"" : -1008513.5995,","""station_0_lat"" : 40.668897,","""station_0_lon"" : -73.932942,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.50819036594},"
1469,197090979.3,Borough Hall_0,Times Sq - 42 St_0,52166898,145182887.8,197349785.8,-258806.5676,40.69273,-73.9900898,40.7551308,-73.9870916,-0.131141043,"{""id"" : 1469,","""delay_with_demand"" : 197090979.261,","""station_0"" : ""Borough Hall_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 52166897.9996,","""delay_1"" : 145182887.829,","""sum"" : 197349785.829,","""synergy"" : -258806.5676,","""station_0_lat"" : 40.69273,","""station_0_lon"" : -73.9900898,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.131141043054},"
1470,164895323.1,Prospect Av_1,Times Sq - 42 St_0,20019529.5,145182887.8,165202417.3,-307094.1846,40.665414,-73.992872,40.7551308,-73.9870916,-0.185889643,"{""id"" : 1470,","""delay_with_demand"" : 164895323.145,","""station_0"" : ""Prospect Av_1"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 20019529.5006,","""delay_1"" : 145182887.829,","""sum"" : 165202417.33,","""synergy"" : -307094.1846,","""station_0_lat"" : 40.665414,","""station_0_lon"" : -73.992872,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.185889643483},"
1471,164279043,Van Siclen Av_0,Times Sq - 42 St_0,19469584.48,145182887.8,164652472.3,-373429.3428,40.665449,-73.889395,40.7551308,-73.9870916,-0.226798503,"{""id"" : 1471,","""delay_with_demand"" : 164279042.968,","""station_0"" : ""Van Siclen Av_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 19469584.4818,","""delay_1"" : 145182887.829,","""sum"" : 164652472.311,","""synergy"" : -373429.3428,","""station_0_lat"" : 40.665449,","""station_0_lon"" : -73.889395,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.226798503271},"
1472,338871917.6,Atlantic Av - Barclays Ctr_0,Times Sq - 42 St_0,202337824.5,145182887.8,347520712.4,-8648794.821,40.68415044,-73.97787489,40.7551308,-73.9870916,-2.488713482,"{""id"" : 1472,","""delay_with_demand"" : 338871917.551,","""station_0"" : ""Atlantic Av - Barclays Ctr_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 202337824.543,","""delay_1"" : 145182887.829,","""sum"" : 347520712.372,","""synergy"" : -8648794.821,","""station_0_lat"" : 40.6841504444,","""station_0_lon"" : -73.9778748889,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -2.48871348184},"
1473,374665044.7,36 St_0,Times Sq - 42 St_0,233420219.2,145182887.8,378603107.1,-3938062.34,40.655144,-74.003549,40.7551308,-73.9870916,-1.040155843,"{""id"" : 1473,","""delay_with_demand"" : 374665044.713,","""station_0"" : ""36 St_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 233420219.224,","""delay_1"" : 145182887.829,","""sum"" : 378603107.053,","""synergy"" : -3938062.34,","""station_0_lat"" : 40.655144,","""station_0_lon"" : -74.003549,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -1.04015584306},"
1474,342428258.1,161 St - Yankee Stadium_0,Times Sq - 42 St_0,197887515,145182887.8,343070402.8,-642144.734,40.82793467,-73.925711,40.7551308,-73.9870916,-0.187175789,"{""id"" : 1474,","""delay_with_demand"" : 342428258.097,","""station_0"" : ""161 St - Yankee Stadium_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 197887515.002,","""delay_1"" : 145182887.829,","""sum"" : 343070402.831,","""synergy"" : -642144.734,","""station_0_lat"" : 40.8279346667,","""station_0_lon"" : -73.925711,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.187175789197},"
1475,331181084.7,36 Av_0,Times Sq - 42 St_0,191517800.1,145182887.8,336700687.9,-5519603.226,40.756804,-73.929575,40.7551308,-73.9870916,-1.639320448,"{""id"" : 1475,","""delay_with_demand"" : 331181084.689,","""station_0"" : ""36 Av_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 191517800.086,","""delay_1"" : 145182887.829,","""sum"" : 336700687.915,","""synergy"" : -5519603.226,","""station_0_lat"" : 40.756804,","""station_0_lon"" : -73.929575,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -1.63932044813},"
1476,336110084.1,Grant Av_0,Times Sq - 42 St_0,192666263.7,145182887.8,337849151.5,-1739067.473,40.677044,-73.86505,40.7551308,-73.9870916,-0.514746734,"{""id"" : 1476,","""delay_with_demand"" : 336110084.058,","""station_0"" : ""Grant Av_0"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 192666263.702,","""delay_1"" : 145182887.829,","""sum"" : 337849151.531,","""synergy"" : -1739067.473,","""station_0_lat"" : 40.677044,","""station_0_lon"" : -73.86505,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -0.514746733896},"
1477,308053955.6,Broadway_1,Times Sq - 42 St_0,167599119.1,145182887.8,312782006.9,-4728051.259,40.76182,-73.925508,40.7551308,-73.9870916,-1.511612291,"{""id"" : 1477,","""delay_with_demand"" : 308053955.64,","""station_0"" : ""Broadway_1"",","""station_1"" : ""Times Sq - 42 St_0"",","""delay_0"" : 167599119.07,","""delay_1"" : 145182887.829,","""sum"" : 312782006.899,","""synergy"" : -4728051.259,","""station_0_lat"" : 40.76182,","""station_0_lon"" : -73.925508,","""station_1_lat"" : 40.7551308,","""station_1_lon"" : -73.9870916,","""percent_synergy"" : -1.51161229058},"
